id,lot,wafer,die,x,y,lum,std,path,h
0,OSD185236,1,OSD185236-Brutes-01-01,1,1,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-01.bmp,HbLIgWeWxPHBn8WkqkzWcWT4Osl8iPmkipTRD1WYWNqh8hHJX7Zpidqb3gzufZrd650034v1JapCMJrZ5pbKUA==
1,OSD185236,1,OSD185236-Brutes-01-02,1,2,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-02.bmp,Dc9xEvX+U9GAgOZA4hwqMN41WU2XQb1MNjSasWRdQ+9E4HLcu8iipwufyyM1QdAC3gYMSxNBcPiinKn8j/27jw==
2,OSD185236,1,OSD185236-Brutes-01-03,1,3,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-03.bmp,xw/FqCrVU0DHwBvuSqKthiHIXo4Au/lGoJjM3Uve87Y6my9BiThcibDzcu0YGi9J2ryVbcUTd++Sbj9QG6RWrQ==
3,OSD185236,1,OSD185236-Brutes-01-04,1,4,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-04.bmp,4RgB0B3UY6uJqOboX1teEZuOpTCEQ9Rt0JVjm7lz53xbbWnaZSanIvyugCbhkNkzrHaVp3o2XPgn1I/KofxoZg==
4,OSD185236,1,OSD185236-Brutes-01-05,1,5,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-05.bmp,u+jpXC8eicoWw7SVAy0IMVy2loWEWuEOkULQqpFSwb4VGTEzf7+X8Kw2yy2JilW68L8oZk/7ZN31dqda6IjNoQ==
5,OSD185236,1,OSD185236-Brutes-01-06,1,6,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-06.bmp,m8ANmWzDF/7kvnzxp3/sAgtTaildL6oVBGNqp9v8q1XIMVvJlePLohAXQ6cNjX6JiHuO96IUEWX4S+5gsUdbXA==
6,OSD185236,1,OSD185236-Brutes-01-07,1,7,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-07.bmp,hWYVlpzkawn5zySxn/ZoD4TVGQfcXeTkgfHuI7wjHUAbXPXNhE5p841tAn0PUg52fIhLu+USyUSaKmPBPUABzQ==
7,OSD185236,1,OSD185236-Brutes-01-08,1,8,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-08.bmp,rvupWUibj5tpi0DtCYZKOYtkOhuOMFt/mEU2MLOWaDPa+mIRkVWHmGOQiQc2UdG3jOfKpwBkDlttYRH8GNBMrA==
8,OSD185236,1,OSD185236-Brutes-01-09,1,9,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-09.bmp,2XHybqB9efUxDe+RAdsJhEKw3JlGC17gTF7V0nHy61SSK6NPYBdGeICMMAqjYJwYA+f/DvMLUdbV5c98i32ppQ==
9,OSD185236,1,OSD185236-Brutes-01-10,1,10,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-10.bmp,yP7dTyFlmH2KedSOKn43BGt4HHbKZjgMJdZ7TnMfOKvVSnK9ZIIOZ6/u3I0OPPcqIajyCl90BFfgr8v1gvPAsw==
10,OSD185236,1,OSD185236-Brutes-01-11,1,11,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-11.bmp,JsQgjESs25wXw6twzEC4Igz5x2+NKxzJD2znDCshq4WcYjui6bsjQ6Y1HctizBlJaWzMoGYaEE4yiZ/IMNX/Wg==
11,OSD185236,1,OSD185236-Brutes-01-12,1,12,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-12.bmp,ta+z3Ow9xrxq/TPFm/cLbVAIZ2/O58Ixh51TuzLhUEgOHlPyhAbMvGWso4Wp0k4oTt5RjZt/Yo9c51TcSLaz8Q==
12,OSD185236,1,OSD185236-Brutes-01-13,1,13,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-13.bmp,fGrNlA0tZpYJwihWCzZch2Ec578rHJPbxo0OVRAnUCLGpPkE+IxjRZUpf6Eb2AVf9kj+/GNOxVEQyG+/FKMTAw==
13,OSD185236,1,OSD185236-Brutes-01-14,1,14,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-14.bmp,c48VNt3TEgsIWN7h6vLh/cp2vvZURprmucoAk2MB6a76pFmwBEnMO6nUXya2AkD/SWzjtdOwVaSfrOBH+zVl1w==
14,OSD185236,1,OSD185236-Brutes-01-15,1,15,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-15.bmp,w+9exHAjfPG1/hOKFro4zgY2Ld8iJx31Ip4CfoPU+3buK9BlW0KH/VoVj0mXnO1YRYjDmGedcl+476/iAmwGUQ==
15,OSD185236,1,OSD185236-Brutes-01-16,1,16,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-16.bmp,uda2M56lCXlMhgUQ+elhf2j3EbQFARDjabehvbvPCcwb3H88glCTqk1qmNjxbkQvLR88J2kItTpi7jxXoUhsbg==
16,OSD185236,1,OSD185236-Brutes-01-17,1,17,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-17.bmp,KjQUyItj+HNN6ydFPmKf14sNevx2dcM9veKnGGpIn1DP/39d6y/aedLiO//yGXWRCYDheUX2bvV3/+W5M6XiAA==
17,OSD185236,1,OSD185236-Brutes-01-18,1,18,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-18.bmp,5shiVJzDYxqoGMaW2ZMbRydgJJMOUmHGLL2wMMuhQStxv19qZqy7Rg1Hz5erah1yAPQ0J1R+6JkFlPXcsC4dLA==
18,OSD185236,1,OSD185236-Brutes-01-19,1,19,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-19.bmp,bYOH8mnWtbbvXsFgdze/wWhQMIzbOzrLCncUopkiFFVbIKYdmTPLnYupyizdV3oBPBYN4ak2E3d/Drqp1yzH7g==
19,OSD185236,1,OSD185236-Brutes-01-20,1,20,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-20.bmp,aBHm1UvNE4AwIJQDks67D6c7GjpILI8bP4uDxb4s0SWvvk+FhADZ8l7EcwIUVHiJd0FYTpYjy5C01sTZSBNhRg==
20,OSD185236,1,OSD185236-Brutes-01-21,1,21,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-21.bmp,vzkLEE2Nfb15xruf3868NyXlESbTCLqghe9FTcy7AcPk68be4ltyCka3QeI7He7BQGMG3mBPx9412NMxWe8//Q==
21,OSD185236,1,OSD185236-Brutes-01-22,1,22,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-22.bmp,bhxRPRTOZnxA+kc5EpGjr2kgh2ZpcoOqBnnxdOiPIblFiaO6QxhYrHtf7Sjhfi+JRtmozoJgbU5RlfDkRfIptA==
22,OSD185236,1,OSD185236-Brutes-01-23,1,23,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-23.bmp,8YuqlDvxXvaaGlbLp00CkeuXz2MBv9VaEtDBdT3+MxUjjjxPuuJKr+8juQTkaDdS8lcb4RNjBFB4jWZiST+cDg==
23,OSD185236,1,OSD185236-Brutes-01-24,1,24,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-24.bmp,Vw5EEEa8gFtfWRoeU2UL3p2zc05kgoNydhQXxl8yiAmN/TAFoz5nD94wTZSDk1OVWnthcde7yrmxxZtjXxaFlA==
24,OSD185236,1,OSD185236-Brutes-01-25,1,25,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-25.bmp,QfgxEo2pxnWMh0l0wfQ9r2h9BpJqyXqD19ly8EL/MAt/U4Yax6ZiFTxjNtOwphATyBQpCmaT7Nl+tG/7UnST6g==
25,OSD185236,1,OSD185236-Brutes-01-26,1,26,-1,-1,img-small/01-originals/OSD185236/01/OSD185236-Brutes-01-26.bmp,JXnHeSwlAgB3X/v0VS0ZlF4gtklYn6DrEdF47z+uBEKEknRuEVxb+Lib8oAocgjviTV80SlvpGVOIw58kJpQwQ==
